"dna_ext","code","project","its","ssu","conc_ng_ul","vol","AllGeneticsCode","treatment","date","campaign","rep","soil_mg","spikein"
"mcs053","tifa1pre1","biosol_strawberry","50k","100k",10.46,40,"mcs053","tifa","11-sept-19",1,1,250,7
"mcs054","tifa1pre1","biosol_strawberry","50k","100k",9.95,40,"mcs054","tifa","11-sept-19",1,1,249,7
"mcs055","tifa1pre1","biosol_strawberry","50k","100k",14.88,40,"mcs055","tifa","11-sept-19",1,1,251,7
"mcs056","tifa1pre2","biosol_strawberry","50k","100k",11,40,"mcs056","tifa","11-sept-19",1,2,254,7
"mcs057","tifa1pre3","biosol_strawberry","50k","100k",10.59,40,"mcs057","tifa","11-sept-19",1,3,252,7
"mcs073","tifa1pos1","biosol_strawberry","50k","100k",6.5,40,"mcs073","tifa","17-oct-19",1,1,240,6
"mcs075","tifa1pos1","biosol_strawberry","50k","100k",5.72,40,"mcs075","tifa","17-oct-19",1,1,243,5.5
"mcs076","tifa1pos1","biosol_strawberry","50k","100k",7.97,40,"mcs076","tifa","17-oct-19",1,1,239,5.5
"mcs077","tifa1pos2","biosol_strawberry","50k","100k",9.12,40,"mcs077","tifa","17-oct-19",1,2,251,5.5
"mcs078","tifa1pos3","biosol_strawberry","50k","100k",7.92,40,"mcs078","tifa","17-oct-19",1,3,245,5.5
"mcs095","tifa1fin1","biosol_strawberry","50k","100k",4.28,40,"mcs095","tifa","14-may-20",1,1,247,5.5
"mcs096","tifa1fin2","biosol_strawberry","50k","100k",7.68,40,"mcs096","tifa","14-may-20",1,2,245,5.5
"mcs097","tifa1fin3","biosol_strawberry","50k","100k",9.01,40,"mcs097","tifa","14-may-20",1,3,251,5.5
"mcs111","tifa2fin1","biosol_strawberry","50k","100k",6.17,40,"mcs111","tifa","25-may-21",2,1,243,5.5
"mcs112","tifa2fin2","biosol_strawberry","50k","100k",8.31,40,"mcs112","tifa","25-may-21",2,2,244,5.5
"mcs113","tifa2fin3","biosol_strawberry","50k","100k",9.89,40,"mcs113","tifa","25-may-21",2,3,249,5.5
"mcs168","spikein","spikein","50k","50k",NA,40,"mcs168","spikein",NA,NA,NA,NA,NA
"blank1","1to3","mcs60+74+88","50k","50k",NA,30,"blank1","blank",NA,NA,NA,NA,NA
"blank2","4to6","mcs102+116+130","50k","50k",NA,30,"blank2","blank",NA,NA,NA,NA,NA
